,Description,Date,Age,Miles,eq_16.3,Minutes,Seconds
75, Gold Discovery Run,2000-07-23,29,16.3,111.5,111.0,30.0
51, Gold Discovery Run,1998-07-26,27,16.3,115.0,115.0,0.0
142, Gold Discovery.,2010-07-25,39,16.3,117.04,117.0,2.0
128, Equinox Marathon,2009-09-18,38,26.224,133.92825480920845,133.0,55.0
145, Equinox Marathon,2010-09-18,39,26.224,140.11657113378422,140.0,6.0
113, Equinox Marathon,2008-09-18,37,26.224,142.27283999475537,142.0,16.0
55, Equinox Marathon,1998-09-19,27,26.224,143.28377363418087,143.0,17.0
154, Gold Discovery Run,2012-07-22,41,16.3,143.36,143.0,21.0
157, Equinox Marathon,2012-09-15,41,26.224,152.9256262645397,152.0,55.0
173, Spacecoast Marathon,2015-11-29,44,26.224,156.50772060539418,156.0,30.0
