,Description,Date,Age,Miles,eq25_5Mi,Minutes,Seconds
0, Leicester,1983-09-04,12,6.0,25.900884128312114,25.0,54.0
207, St Pete Run Festival,2021-11-13,50,6.215,28.133329254747967,28.0,7.0
140, Valkyeries,2010-07-17,38,4.972,28.151668188772867,28.0,9.0
117, Midnight Sun Run,2009-06-19,37,6.215,28.49664569094067,28.0,29.0
206, Trot thru the terrace,2021-11-06,50,6.215,28.67040572564153,28.0,40.0
4, Leicester,1984-09-01,13,5.0,28.68,28.0,40.0
17, Leicester,1987-09-06,16,5.0,28.78,28.0,46.0
9, sileby,1985-09-01,14,9.0,29.00941183472005,29.0,0.0
177, Midnight Sun Run,2016-06-18,44,6.215,29.04162034522973,29.0,2.0
205, Fast tempo run  Lake Carrollwood,2021-10-23,50,6.215,29.223278563326076,29.0,13.0
13, shepshed,1986-10-04,15,6.215,29.223278563326076,29.0,13.0
106, Yankovitch loop run SUPER FAST  HILLY,2007-08-26,36,5.25,29.283000587965862,29.0,16.0
98, Midnight Sun Run,2007-06-23,35,6.215,29.36544586444496,29.0,21.0
169, Midnight Sun Run,2014-06-21,42,6.215,29.36544586444496,29.0,21.0
152, Valkyries,2012-07-14,40,5.37,29.488333230981528,29.0,29.0
135, Spring Fling,2010-04-03,38,6.215,29.515511348959336,29.0,30.0
105, Morning run near Pioneer Park,2007-08-05,36,5.0,29.6,29.0,36.0
24, sileby,1988-09-11,17,9.0,29.793305867753844,29.0,47.0
161, Midnight Sun Run,2013-06-22,41,6.215,29.87882778515204,29.0,52.0
104, GCI 8k,2007-08-04,36,4.972,29.952650535374136,29.0,57.0
186, Thanksgiving Turkey Trot,2016-11-24,45,6.215,29.997300536084442,29.0,59.0
112, Run Lu Lu Run,2008-08-17,37,6.215,30.028893269666423,30.0,1.0
86, LRRL Beaumont Markfield,2005-01-23,33,6.215,30.068384186643886,30.0,4.0
179, Prestwold Air Ambulance 10k,2016-06-26,44,6.215,30.076282370039376,30.0,4.0
192, Run on the shutle landing facility ,2018-03-13,46,6.0,30.08506243222063,30.0,5.0
150, Midnight Sun Run,2012-06-23,40,6.215,30.23424603794925,30.0,14.0
56, Miller Hill / Yankovich Cookie Challenge,1998-10-10,27,6.5,30.238585734955176,30.0,14.0
87, LRRL Barrow ,2005-01-30,33,6.0,30.29016921182399,30.0,17.0
127, Final leg of Skagway-Whitehorse Klondike Relay,2009-09-12,38,12.1,30.368638416273807,30.0,22.0
159, Halloween Run,2012-10-27,41,10.0,30.36932999811259,30.0,22.0
180, 3 club challenge,2016-08-09,45,5.0,30.38,30.0,22.0
12, sileby,1986-09-07,15,9.0,30.438551976577585,30.0,26.0
101, Santa Claus Half,2007-07-07,35,13.112,30.560176451052758,30.0,33.0
187, Barrow Boxing Day Handicap,2016-12-26,45,6.0,30.560910160900423,30.0,33.0
143, Santa Claus Half,2010-08-07,39,13.112,30.614989633734307,30.0,36.0
191, Trot thru the terrace,2017-11-11,46,6.215,30.621257024328436,30.0,37.0
125, Run Lu Lu Run,2009-08-15,38,6.837,30.687397262382436,30.0,41.0
138, Midnight Sun Run,2010-06-19,38,6.215,30.739729775260837,30.0,44.0
34, St Andrews Half,1991-05-15,19,13.112,30.84155078881804,30.0,50.0
110, Fairbanks run for women,2008-06-01,36,5.0,30.880000000000003,30.0,52.0
44, Midnight Sun Run,1998-06-20,26,6.215,31.039860744289587,31.0,2.0
146, Murphy Dome Roam,2011-05-15,39,11.0,31.14235702821506,31.0,8.0
124, Santa Claus Half,2009-08-08,38,13.112,31.24351412848273,31.0,14.0
83, Crossdale 10k,2004-09-05,33,6.215,31.292602612945384,31.0,17.0
129, Cache Creek Warm-up,2009-10-24,38,6.8,31.296542732073362,31.0,17.0
60, Law Days 10k,1999-05-01,27,6.215,31.418973547273282,31.0,25.0
80, Desford 10k,2004-03-28,32,6.215,31.458464464250746,31.0,27.0
28, sileby,1989-09-10,18,9.0,31.665052844589646,31.0,39.0
88, Holme Pierrepont,2005-07-28,34,6.215,31.790188166861476,31.0,47.0
170, North Pole Triathlon,2014-07-12,42,6.215,32.06662458570376,32.0,3.0
79, Trent Toll Bridge (Notts AC),2003-07-26,32,5.0,32.27,32.0,16.0
71, Santa Claus Half M,1999-07-10,27,13.112,32.511525754515894,32.0,30.0
142, Gold Discovery.,2010-07-25,39,16.3,32.56820543110773,32.0,34.0
52, Santa Claus Half M,1998-08-08,27,13.112,32.58826421027006,32.0,35.0
50, Grandmas over the hill,1998-07-23,27,9.0,32.63558831406006,32.0,38.0
111, Spruce Tree Classic,2008-06-28,36,7.2,32.67886721216618,32.0,40.0
196, Multirace Fort de Soto Tri #3,2018-09-15,47,6.215,32.68268289055225,32.0,40.0
194, Multirace Fort de Soto Tri #1,2018-07-07,46,6.215,32.76166472450718,32.0,45.0
195, Multirace Fort de Soto Tri #2,2018-08-18,47,6.215,32.79325745808916,32.0,47.0
38, Law Days Judicata,1998-04-25,26,6.215,32.87223929204409,32.0,52.0
94, Spring Fling 10k,2007-04-07,35,6.215,32.95122112599903,32.0,57.0
75, Gold Discovery Run,2000-07-23,29,16.3,33.01003941173553,33.0,0.0
25, Bellshire Half M in Melton,1988-10-18,17,13.112,33.15466709797939,33.0,9.0
84, Robin Hood Half Marathon,2004-09-12,33,13.112,33.36295719216928,33.0,21.0
85, Turkey Trot - Keyworth,2004-12-12,33,12.6,33.531817113593654,33.0,31.0
3, Barrow,1984-06-02,12,9.2,33.58478060937743,33.0,35.0
118, Spruce Tree Classic,2009-06-27,37,7.2,33.589423883712605,33.0,35.0
100, Spruce Tree Classic,2007-06-30,35,7.5,33.756666295727776,33.0,45.0
54, Musk Ox Run,1998-08-27,27,11.5,33.78119709026425,33.0,46.0
27, walton,1989-09-02,18,6.215,33.89900313345825,33.0,53.0
92, Barrow Boxing Day Handicap,2005-12-26,34,6.0,33.98209124468444,33.0,58.0
51, Gold Discovery Run,1998-07-26,27,16.3,34.07162709673385,34.0,4.0
114, St Patricks,2009-03-15,37,7.2,34.10877842970575,34.0,6.0
137, Murphy Dome Roam,2010-05-09,38,11.0,34.14491998433291,34.0,8.0
126, Run for the Refuge,2009-08-16,38,6.215,34.222828652673485,34.0,13.0
167, Murphy Dome Roam,2014-05-18,42,11.0,34.24051533170569,34.0,14.0
197, Trout Creek 15km trail race,2019-02-10,47,9.323,34.3355203356875,34.0,20.0
65, Midnight Sun Run,1999-06-19,27,6.215,34.51506143830675,34.0,30.0
19, shepshed,1987-11-01,16,6.215,34.53085780509773,34.0,31.0
103, UAF campus and trail run,2007-07-30,36,7.1,34.5531569436064,34.0,33.0
5, sileby,1984-09-01,13,9.0,34.917946451056416,34.0,55.0
93, Two way street station cookie challenge,2006-09-30,35,6.4,35.41529482532461,35.0,24.0
66, Hugh Heacock at Birch Hill,1999-06-24,27,6.215,35.51813072953443,35.0,31.0
155, Santa Claus Half,2012-08-04,41,13.112,35.85878411026913,35.0,51.0
108, Two Way Street Cookie Challenge,2007-10-20,36,6.5,36.04848822061605,36.0,2.0
128, Equinox Marathon,2009-09-18,38,26.224,37.11665727400574,37.0,6.0
91, Turkey Trot - Keyworth,2005-12-11,34,13.112,37.27296422345308,37.0,16.0
74, Santa Claus Half M,2000-07-01,28,13.112,37.45567483239158,37.0,27.0
76, Beaver Sports Triathlon,2000-07-29,29,6.215,37.461083844825836,37.0,27.0
23, Leicester (Run the World),1988-09-03,17,6.215,37.59535296254922,37.0,35.0
145, Equinox Marathon,2010-09-18,39,26.224,38.277635816189864,38.0,16.0
154, Gold Discovery Run,2012-07-22,41,16.3,38.46624427317941,38.0,27.0
107, Equinox Leg 2,2007-09-15,36,8.7,39.08216605884755,39.0,4.0
173, Spacecoast Marathon,2015-11-29,44,26.224,39.528720155677824,39.0,31.0
113, Equinox Marathon,2008-09-18,37,26.224,39.70200053510829,39.0,42.0
193, Santa Rosa Olympic Triathlon 1500m swim  25 mile ride  10k run,2018-06-09,46,6.215,39.751557029518956,39.0,45.0
147, Annihilator,2011-05-28,39,6.7,39.95662089192588,39.0,57.0
157, Equinox Marathon,2012-09-15,41,26.224,40.438442147687766,40.0,26.0
55, Equinox Marathon,1998-09-19,27,26.224,42.44849454908117,42.0,26.0
120, Ester Dome Ass Kicker,2009-07-12,37,6.75,42.819013738157615,42.0,49.0
