,Description,Date,Age,Miles,eq_HMa,Minutes,Seconds
101, Santa Claus Half,2007-07-07,35,13.112,86.59,86.0,35.0
143, Santa Claus Half,2010-08-07,39,13.112,89.02,89.0,1.0
71, Santa Claus Half M,1999-07-10,27,13.112,89.02,89.0,1.0
52, Santa Claus Half M,1998-08-08,27,13.112,89.25,89.0,15.0
124, Santa Claus Half,2009-08-08,38,13.112,90.13,90.0,7.0
34, St Andrews Half,1991-05-15,19,13.112,90.33,90.0,19.0
75, Gold Discovery Run,2000-07-23,29,16.3,90.48028333151753,90.0,28.0
84, Robin Hood Half Marathon,2004-09-12,33,13.112,92.95,92.0,57.0
51, Gold Discovery Run,1998-07-26,27,16.3,93.32047159752929,93.0,19.0
85, Turkey Trot - Keyworth,2004-12-12,33,12.6,93.56053810692354,93.0,33.0
142, Gold Discovery.,2010-07-25,39,16.3,94.9758956154333,94.0,58.0
25, Bellshire Half M in Melton,1988-10-18,17,13.112,97.08,97.0,4.0
74, Santa Claus Half M,2000-07-01,28,13.112,102.68,102.0,40.0
91, Turkey Trot - Keyworth,2005-12-11,34,13.112,105.0,105.0,0.0
155, Santa Claus Half,2012-08-04,41,13.112,107.82,107.0,49.0
128, Equinox Marathon,2009-09-18,38,26.224,108.68041651329915,108.0,40.0
145, Equinox Marathon,2010-09-18,39,26.224,113.70212605942176,113.0,42.0
113, Equinox Marathon,2008-09-18,37,26.224,115.45190020722085,115.0,27.0
55, Equinox Marathon,1998-09-19,27,26.224,116.27225502448168,116.0,16.0
154, Gold Discovery Run,2012-07-22,41,16.3,116.33411137584173,116.0,20.0
36, Leeds Half M,1995-07-01,23,13.112,119.2,119.0,12.0
157, Equinox Marathon,2012-09-15,41,26.224,124.09644836829874,124.0,5.0
173, Spacecoast Marathon,2015-11-29,44,26.224,127.00325474391077,127.0,0.0
165, Sourdough Triathlon,2013-07-14,41,13.112,138.95,138.0,56.0
78, Leeds Half M with Tanya,2001-06-01,29,13.112,140.0,140.0,0.0
